player_name,TEAM,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,mp,oreb,dreb,treb,ast,stl,blk,pts
Chevez Goodwin,USC,P12,33,36.7,102.2,21.0,53.8,54.24,10.5,15.8,6.3,19.4,31,58,0.534,77,142,0.542,0,1,0.0,2.3,1.2,40.6,Sr,9-Jun,1.23928,109.573,5.6,2022,46358,all,95.4158,88.8356,1.95798,93.9338,14.9091,1.303,2.1818,3.4848,0.4848,0.303,0.3333,5.6061
Jacob Young,Oregon,P12,28,75.0,98.0,27.0,51.7,54.41,1.1,5.9,23.3,21.4,61,84,0.726,121,240,0.504,31,84,0.369,0.3,3.3,25.9,Sr,2-Jun,2.88591,112.97,2.5,2022,47191,all,101.416,93.4522,3.51999,141.196,30.1429,0.2857,1.6071,1.8929,3.3571,1.7143,0.0714,14.1429
Xzavier Malone-Key,Oregon St.,P12,26,64.9,107.5,21.8,54.6,56.93,2.5,10.4,14.4,15.8,61,92,0.663,86,156,0.551,30,84,0.357,0.4,1.0,38.3,Sr,4-Jun,2.15693,106.839,2.4,2022,47772,all,102.5486149405863,102.52320046210707,1.454481953287563,60.69836936250312,17.025967088941663,0.7216740036949024,1.9957644761150686,2.717427922934817,1.081376510952756,0.5408927157561374,0.26356426497756813,5.890557640538397
Jordan Shepherd,California,P12,24,83.2,95.8,22.2,48.3,53.78,0.8,12.1,19.7,20.6,76,104,0.731,82,162,0.506,13,48,0.271,1.3,2.2,49.5,Sr,4-Jun,1.51247,98.3586,2.1,2022,48004,all,101.288,102.276,2.88347,142.059,34.28,0.2,3.28,3.48,2.88,1.36,0.48,11.92
Makale Foreman,California,P12,28,51.3,94.0,21.5,44.0,47.92,1.5,5.7,15.0,15.2,31,35,0.886,21,58,0.362,42,133,0.316,0.0,1.3,18.3,Sr,1-Jun,1.11509,100.904,2.5,2022,49015,all,109.675,102.839,1.7399,80.8959,20.5862,0.2414,0.9655,1.2069,1.5517,0.4828,0.0,7.2069
Justin Kier,Arizona,P12,25,77.1,94.7,16.7,48.7,52.54,1.3,11.9,12.9,25.3,45,60,0.75,41,97,0.423,37,101,0.366,0.3,2.9,30.3,Sr,4-Jun,1.04136,94.985,2.4,2022,49529,all,103.46,99.1637,3.00683,155.465,31.0,0.36,3.32,3.68,2.4,1.72,0.08,9.52
Grant Anticevich,California,P12,24,64.1,97.9,18.5,48.3,50.86,3.1,16.9,13.4,16.4,24,28,0.857,53,123,0.431,30,80,0.375,1.5,0.9,13.8,Sr,8-Jun,1.72063,101.83,3.2,2022,50227,all,106.185,99.1863,2.91391,119.772,29.4,0.76,3.76,4.52,1.76,0.48,0.44,8.88
Eric Williams Jr.,Oregon,P12,24,66.0,106.2,18.7,46.6,50.44,7.3,16.4,9.0,13.6,46,63,0.73,50,117,0.427,31,90,0.344,1.9,1.1,30.4,Sr,6-Jun,2.57871,109.39,2.7,2022,50314,all,103.026,96.5115,3.28493,124.928,30.7917,1.8333,4.125,5.9583,1.625,0.5833,0.5,9.9583
Marco Anthony,Utah,P12,28,80.0,99.6,19.2,45.7,48.58,5.3,11.6,17.9,19.1,56,91,0.615,81,184,0.44,21,62,0.339,1.6,1.6,37.0,Sr,5-Jun,1.61411,99.7921,2.2,2022,50369,all,93.349,91.4251,3.97864,163.317,32.0,1.5,3.3214,4.8214,3.1429,0.8929,0.4286,10.0357
Matt DeWolf,Washington St.,P12,23,24.9,90.2,18.7,49.1,51.07,9.6,16.0,17.5,30.7,10,16,0.625,27,55,0.491,1,3,0.333,1.7,2.4,27.6,Sr,9-Jun,0.116428,88.3206,3.6,2022,50452,all,102.5486149405863,102.52320046210707,1.454481953287563,60.69836936250312,17.025967088941663,0.7216740036949024,1.9957644761150686,2.717427922934817,1.081376510952756,0.5408927157561374,0.26356426497756813,5.890557640538397
David Jenkins Jr.,Utah,P12,25,74.3,102.3,25.4,49.8,52.56,1.6,8.1,10.8,14.0,49,64,0.766,56,146,0.384,67,168,0.399,0.3,0.8,20.4,Sr,2-Jun,2.67218,111.167,2.9,2022,51013,all,110.725,109.592,1.82167,101.079,29.2593,0.3704,2.0,2.3704,1.6296,0.4074,0.0741,14.7778
Daejon Davis,Washington,P12,13,32.1,105.3,21.4,52.0,56.98,2.2,11.5,22.0,19.9,30,37,0.811,31,61,0.508,14,39,0.359,0.0,2.1,37.0,Sr,3-Jun,2.58732,113.507,3.2,2022,51639,all,100.328,94.2704,3.02087,63.4249,27.1538,0.4615,2.7692,3.2308,2.9231,1.0,0.0,10.3077
Michael Flowers,Washington St.,P12,24,93.2,107.9,29.1,52.0,56.68,1.1,12.5,22.1,16.8,104,126,0.825,85,178,0.478,76,205,0.371,0.4,2.3,32.9,Sr,1-Jun,4.3715,119.037,2.3,2022,52110,all,104.625,108.69,2.40247,166.2,37.1786,0.3571,4.2857,4.6429,3.6429,1.6071,0.1071,21.0
Marreon Jackson,Arizona St.,P12,30,84.4,111.1,28.6,50.0,54.94,1.9,16.8,32.3,17.5,103,114,0.904,91,193,0.472,86,247,0.348,0.9,3.1,25.9,Sr,1-Jun,4.33331,122.263,2.4,2022,52117,all,98.2397,97.0043,3.54228,226.593,34.1667,0.5667,5.5,6.0667,5.8333,1.8333,0.3,18.1
Kimani Lawrence,Arizona St.,P12,23,54.7,103.3,17.7,52.4,54.67,5.9,18.2,7.1,14.7,35,55,0.636,74,138,0.536,1,6,0.167,1.6,1.8,38.2,Sr,8-Jun,1.67333,105.567,4.1,2022,52141,all,104.574,98.0831,2.40338,108.205,24.0,1.3043,3.6957,5.0,0.8696,0.7826,0.3478,8.087
Maurice Calloo,Oregon St.,P12,32,40.0,94.9,19.8,44.9,48.86,3.2,13.5,6.9,16.1,29,34,0.853,25,86,0.291,33,80,0.412,0.7,0.9,20.5,Sr,10-Jun,0.837075,100.333,4.2,2022,65587,all,105.933,98.728,1.58386,79.6138,16.1818,0.4848,1.9091,2.3939,0.6364,0.2424,0.0909,5.7576
Andre Kelly,California,P12,28,65.9,117.0,18.9,58.8,59.86,8.5,22.9,5.3,9.6,60,98,0.612,114,191,0.597,0,3,0.0,2.1,1.4,50.5,Sr,8-Jun,3.30437,121.385,4.1,2022,65654,all,103.044,96.6215,2.80179,140.463,25.8966,1.7586,4.6552,6.4138,0.5517,0.5862,0.4828,10.3103
Drew Peterson,USC,P12,33,70.6,106.6,19.4,48.9,52.2,3.6,15.6,16.8,17.7,61,87,0.701,79,178,0.444,35,91,0.385,1.1,1.3,32.3,Sr,8-Jun,2.6124,111.916,2.5,2022,65674,all,96.2007,89.5664,3.69313,175.014,28.6667,0.8485,4.1515,5.0,2.6667,0.6364,0.303,9.8182
Jamal Bey,Washington,P12,26,77.7,104.0,16.6,55.2,58.03,2.0,11.7,7.1,17.7,46,63,0.73,54,126,0.429,38,75,0.507,1.8,1.6,31.3,Sr,6-Jun,2.15478,105.238,2.1,2022,65843,all,110.515,102.394,2.68102,133.794,31.0769,0.5385,3.1923,3.7308,1.1154,0.8846,0.5769,10.3077
Will Richardson,Oregon,P12,16,50.7,106.1,18.8,53.2,56.27,2.4,9.3,18.9,22.0,31,42,0.738,37,78,0.474,25,62,0.403,0.2,1.8,30.0,Sr,5-Jun,3.19832,111.219,2.6,2022,65858,all,105.004,96.5106,3.78734,87.5247,35.5,0.6875,2.6875,3.375,3.9375,1.0625,0.0625,11.25
Eli Parquet,Colorado,P12,31,67.7,110.8,10.1,56.9,60.03,2.2,6.7,7.8,21.5,21,23,0.913,36,69,0.522,23,55,0.418,3.0,1.9,18.5,Sr,3-Jun,1.43572,100.05,3.0,2022,65870,all,97.807,92.1356,3.40834,151.842,27.9677,0.4839,1.5806,2.0645,1.2581,0.871,0.7419,5.2258
Jaiden Delaire,Stanford,P12,24,60.0,97.2,24.9,49.8,54.17,4.6,13.0,8.1,18.6,65,86,0.756,97,194,0.5,14,43,0.326,1.5,1.9,36.3,Sr,9-Jun,2.18256,108.604,2.8,2022,65937,all,99.4073,92.6647,3.23349,123.272,27.5,0.9583,3.1667,4.125,1.0,0.9167,0.375,12.5417
Keenan Fitzmorris,Stanford,P12,5,0.7,0.0,10.6,0.0,0.0,0.0,14.1,0.0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,0.0,Jr,Jul-00,-0.48562,-2.21178,0.0,2022,65938,all,104.276,101.615,0.142355,1.1938,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0
Lukas Kisunas,Stanford,P12,26,37.2,94.2,14.0,54.8,53.41,8.7,16.8,6.0,24.1,17,37,0.459,34,62,0.548,0,0,0.0,2.8,0.8,59.7,Sr,10-Jun,0.305768,90.9651,4.8,2022,65940,all,99.4611,93.0325,1.83285,76.2215,15.7308,1.0385,2.3462,3.3846,0.5,0.2308,0.3846,3.2692
Nate Roberts,Washington,P12,26,54.5,102.8,14.6,55.3,55.56,11.1,18.7,4.0,20.5,30,56,0.536,52,94,0.553,0,0,0.0,1.9,0.8,59.6,Jr,11-Jun,1.17675,100.806,5.8,2022,65994,all,108.889,100.888,1.99532,101.372,21.8077,2.1154,3.5769,5.6923,0.4615,0.3077,0.4231,5.1538
Luther Muhammad,Arizona St.,P12,30,60.6,108.0,15.0,48.8,54.86,2.3,8.0,9.9,17.1,51,60,0.85,28,64,0.438,34,98,0.347,0.3,2.4,37.0,Jr,3-Jun,1.76915,105.708,2.9,2022,66211,all,102.5486149405863,102.52320046210707,1.454481953287563,60.69836936250312,17.025967088941663,0.7216740036949024,1.9957644761150686,2.717427922934817,1.081376510952756,0.5408927157561374,0.26356426497756813,5.890557640538397
Jules Bernard,UCLA,P12,32,70.6,112.5,19.0,51.6,55.43,6.0,15.8,10.4,13.5,67,90,0.744,74,158,0.468,38,96,0.396,0.6,1.0,35.4,Sr,6-Jun,3.25577,118.461,3.0,2022,66219,all,103.375,96.2639,3.03877,153.31,29.25,1.4062,3.7188,5.125,1.5938,0.4688,0.1562,10.2812
Kenneth Nwuba,UCLA,P12,18,8.1,52.7,7.4,14.3,13.38,9.3,10.4,0.0,39.2,0,1,0.0,1,7,0.143,0,0,0.0,4.4,0.6,14.3,Jr,9-Jun,-0.810145,44.8892,8.6,2022,66222,all,103.168,95.8063,0.631183,17.6874,5.9444,0.4444,0.5,0.9444,0.0,0.0556,0.2222,0.1111
Emmitt Matthews Jr.,Washington,P12,29,63.9,101.9,16.6,44.4,49.25,6.7,10.4,7.5,17.3,49,64,0.766,65,147,0.442,15,50,0.3,1.8,1.3,32.5,Sr,7-Jun,1.61711,103.484,2.0,2022,66226,all,104.521,98.6184,2.54053,122.946,25.8966,1.6207,2.3448,3.9655,1.069,0.5862,0.4138,7.7241
Tyger Campbell,UCLA,P12,32,81.3,107.5,20.6,45.9,49.92,1.2,6.4,30.2,16.4,61,79,0.772,109,224,0.487,18,72,0.25,0.1,1.9,26.7,Jr,11-May,3.43767,115.726,2.3,2022,66375,all,104.694,97.4925,3.35792,166.008,33.6562,0.3125,1.75,2.0625,5.375,1.0625,0.0312,10.4062
Riley Sorn,Washington,P12,24,22.5,131.7,14.0,72.7,73.05,12.2,17.6,6.2,17.3,10,14,0.714,32,44,0.727,0,0,0.0,8.4,1.0,31.8,Jr,4-Jul,1.46108,128.441,5.0,2022,66455,all,105.945,97.8137,0.9961,47.4306,9.75,1.0417,1.5,2.5417,0.2917,0.1667,0.8333,3.0833
Riley Battin,Utah,P12,25,54.3,113.4,16.0,50.4,54.14,4.9,13.7,11.7,9.4,25,28,0.893,30,61,0.492,27,79,0.342,0.4,1.2,20.0,Sr,9-Jun,2.064,112.663,2.8,2022,66477,all,104.554,98.5163,2.16435,90.4154,21.92,0.84,2.52,3.36,1.4,0.44,0.08,6.64
Lahat Thioune,Utah,P12,20,11.0,106.5,13.6,71.9,75.42,11.6,14.0,1.6,35.0,4,4,1.0,10,15,0.667,1,1,1.0,0.0,2.1,25.0,Jr,10-Jun,0.320478,101.897,5.0,2022,66484,all,102.366,96.7786,0.586944,20.158,5.55,0.5,0.65,1.15,0.05,0.2,0.0,1.35
David Singleton,UCLA,P12,32,41.3,124.8,11.6,62.8,63.35,0.7,11.6,6.6,10.7,9,13,0.692,11,29,0.379,40,84,0.476,0.0,1.3,11.5,Sr,4-Jun,1.83729,117.32,2.1,2022,66556,all,104.42,97.237,1.7201,85.4125,17.0938,0.0938,1.5938,1.6875,0.625,0.375,0.0,4.7188
Both Gach,Utah,P12,29,56.1,95.2,17.6,46.4,51.38,2.1,15.5,17.1,22.3,42,52,0.808,46,91,0.505,21,76,0.276,0.3,1.5,31.1,Sr,6-Jun,0.969312,97.7074,2.9,2022,66562,all,103.572,96.1795,2.41917,116.279,22.7241,0.4828,3.1724,3.6552,1.931,0.5862,0.069,6.7931
Cody Riley,UCLA,P12,31,54.6,102.5,25.1,53.8,56.72,7.9,20.6,11.8,21.1,69,104,0.663,120,221,0.543,0,2,0.0,3.6,0.9,46.6,Sr,9-Jun,2.41455,116.174,5.3,2022,66580,all,99.8841,93.14,2.66428,136.886,23.3226,1.4839,3.871,5.3548,1.3226,0.3548,0.7097,9.9677
Evan Battey,Colorado,P12,32,64.1,111.5,21.4,50.2,58.15,9.3,15.5,7.3,17.7,104,126,0.825,106,200,0.53,2,17,0.118,1.2,1.0,58.1,Sr,8-Jun,3.08264,119.882,3.9,2022,66680,all,97.6332,91.9924,3.1394,144.856,25.6562,1.9062,3.3438,5.25,0.9688,0.4062,0.2812,10.0625
Blake Welle,California,P12,2,0.3,44.9,20.0,0.0,12.66,40.8,43.6,0.0,0.0,1,2,0.5,0,3,0.0,0,0,0.0,0.0,0.0,66.7,Jr,7-Jun,-0.20957,44.9926,0.0,2022,67634,all,102.036,96.4463,0.160363,0.593627,1.6667,1.0,1.0,2.0,0.0,0.0,0.0,0.6667
Terrell Brown Jr.,Washington,P12,26,63.6,113.7,16.5,43.4,49.78,2.3,13.3,24.8,12.2,52,67,0.776,48,121,0.397,14,38,0.368,1.0,2.1,42.1,Sr,3-Jun,2.45144,113.017,2.2,2022,67778,all,100.258,94.9989,2.84838,121.503,25.6923,0.5,2.9615,3.4615,3.4615,0.9231,0.2308,7.3077
Sam Beskind,Stanford,P12,11,1.6,51.8,15.7,50.0,43.8,0.0,6.3,0.0,40.7,1,3,0.333,1,2,0.5,0,0,0.0,0.0,0.0,150.0,Jr,4-Jun,-0.193183,51.2338,2.2,2022,67794,all,107.352,102.098,0.142849,2.25902,1.6364,0.0,0.0909,0.0909,0.0,0.0,0.0,0.2727
Tony Miller,Washington St.,P12,10,9.8,62.8,21.8,21.7,28.81,10.3,16.7,12.2,27.0,9,21,0.429,5,18,0.278,0,5,0.0,1.0,0.5,91.3,Sr,6-Jun,-0.635204,68.0418,4.8,2022,68058,all,98.345,91.4376,1.32171,18.6632,10.9,1.0,1.6,2.6,0.7,0.1,0.1,1.9
Jonah Geron,Washington,P12,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Jr,6-Jun,-0.32158,-7.41856,0.0,2022,68063,all,120.038,124.756,0.00867337,0.0882532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Neubauer,Washington,P12,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,56.3,0.0,Jr,3-Jun,-0.323226,-7.89291,0.0,2022,68065,all,-3.10452,-2.76485,0.451172,1.08825,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Reagan Lundeen,Washington,P12,2,0.2,200.0,13.1,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0.0,0.0,0.0,Sr,6-Jun,0.352281,186.778,0.0,2022,68066,all,120.038,115.142,0.042034,0.176506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isaiah White,USC,P12,32,50.1,110.2,18.3,56.0,57.32,7.3,10.9,7.1,17.2,46,76,0.605,62,109,0.569,24,66,0.364,0.9,2.7,43.4,Sr,7-Jun,2.04716,113.788,3.9,2022,68202,all,95.1978,88.7904,2.75985,129.404,21.0,1.2812,2.125,3.4062,0.8125,0.9688,0.1875,7.5625
Benan Ersek,Colorado,P12,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,2-Jun,-0.644368,-7.59262,0.0,2022,68206,all,106.408,104.337,0.159055,0.221329,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warith Alatishe,Oregon St.,P12,32,69.1,105.3,21.3,50.5,50.97,13.9,22.7,14.2,15.7,28,53,0.528,137,260,0.527,1,14,0.071,6.1,2.4,19.3,Sr,7-Jun,2.70225,113.443,3.9,2022,68240,all,96.4246,89.8664,3.58448,200.838,27.4545,3.2121,5.3939,8.6061,1.7576,1.1515,1.3939,9.5152
Myles Johnson,UCLA,P12,28,61.5,113.1,17.3,62.8,60.12,13.3,25.3,6.1,16.7,27,62,0.435,98,156,0.628,0,0,0.0,10.5,2.7,39.7,Sr,11-Jun,2.57983,115.473,4.2,2022,68348,all,88.9452,81.9604,3.8672,182.609,24.7143,2.8929,5.6429,8.5357,0.7857,1.1429,2.3929,7.9643
Russell Stong,UCLA,P12,5,0.4,0.0,0.0,0.0,0.0,0.0,24.8,31.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,3-Jun,-0.323094,-7.85502,0.0,2022,68363,all,103.304,103.017,0.0841094,0.821562,1.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
Max Agbonkpolo,USC,P12,33,40.1,88.3,16.0,42.8,46.88,3.1,14.2,8.5,25.3,27,39,0.692,28,55,0.509,15,63,0.238,1.3,1.4,33.1,Jr,9-Jun,0.15039,87.9595,3.1,2022,70342,all,96.3733,89.7271,2.08748,98.6483,16.2727,0.4242,2.1515,2.5758,0.8182,0.3939,0.2121,3.8788
De'Vion Harmon,Oregon,P12,25,72.7,107.5,20.0,54.0,56.18,1.8,10.3,12.7,14.5,41,56,0.732,91,160,0.569,33,100,0.33,0.0,2.0,21.5,Jr,2-Jun,3.05543,113.325,1.8,2022,70362,all,103.36,98.7192,3.10626,132.105,31.84,0.52,2.92,3.44,2.04,1.08,0.0,12.88
Cole Bajema,Washington,P12,24,35.2,92.5,11.6,49.2,52.76,2.2,9.7,3.0,21.3,12,15,0.8,13,32,0.406,12,31,0.387,1.6,2.0,23.8,Jr,7-Jun,0.0418512,86.0466,3.9,2022,70392,all,110.387,102.143,1.32892,60.9838,15.25,0.2917,1.2917,1.5833,0.25,0.5417,0.25,3.0833
Jaxon Brenchley,Utah,P12,19,12.3,72.0,10.6,23.7,23.68,3.1,9.6,14.4,17.9,0,0,0.0,3,6,0.5,1,13,0.077,0.0,0.5,0.0,Jr,5-Jun,-0.457489,64.7885,2.6,2022,70421,all,107.909,102.439,0.554717,17.3001,6.5263,0.1579,0.5263,0.6842,0.5789,0.0526,0.0,0.4737
Eli Ballstaedt,Utah,P12,2,0.5,391.2,3.7,0.0,0.0,25.8,0.0,30.8,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,11.8,0.0,Jr,5-Jun,1.94561,337.569,8.0,2022,70424,all,85.7543,78.7412,0.374102,1.53858,2.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0
Jaime Jaquez Jr.,UCLA,P12,32,84.4,116.1,18.4,55.0,57.13,6.9,14.7,9.3,12.0,74,113,0.655,105,198,0.53,37,94,0.394,2.3,2.1,38.7,Jr,6-Jun,4.2061,121.17,2.6,2022,70461,all,100.166,93.276,3.97956,209.366,34.9375,1.9375,4.1562,6.0938,1.6875,1.2188,0.6875,12.3438
Chol Marial,Oregon St.,P12,17,8.3,82.1,20.1,39.6,42.77,9.1,11.5,2.0,18.4,6,11,0.545,8,18,0.444,1,6,0.167,11.0,0.6,45.8,Jr,2-Jul,0.0675113,88.5966,4.8,2022,70531,all,99.3188,95.0321,0.651165,19.0514,6.1667,0.3889,0.6667,1.0556,0.1111,0.0556,0.6111,1.6111
Tre' Williams,Oregon St.,P12,27,42.8,89.1,18.0,48.3,46.93,2.8,11.7,11.6,17.4,10,32,0.313,37,78,0.474,24,73,0.329,0.8,1.9,21.2,Jr,5-Jun,0.464913,92.5142,3.8,2022,70552,all,103.763,96.5339,1.96779,87.9741,18.6296,0.5185,1.963,2.4815,1.037,0.6296,0.1481,5.7778
Jarred Hyder,California,P12,21,30.4,88.8,24.2,41.3,46.52,1.1,8.5,24.8,20.6,28,39,0.718,28,60,0.467,10,44,0.227,0.7,0.9,37.5,Jr,3-Jun,0.752439,98.6489,3.3,2022,70594,all,109.219,102.44,1.39415,48.9947,16.1905,0.1429,1.0476,1.1905,1.8095,0.2381,0.0952,5.4286
Ryan Rapp,Washington St.,P12,19,35.5,81.7,14.5,38.4,42.42,1.4,12.7,19.1,29.6,14,21,0.667,10,29,0.345,11,40,0.275,0.5,0.9,30.4,Jr,5-Jun,-0.59453,76.9391,3.5,2022,70617,all,99.4527,95.5384,2.26737,64.0247,20.7368,0.2632,2.3158,2.5789,2.0526,0.3158,0.1053,3.5263
Noah Williams,Washington St.,P12,27,72.9,100.0,26.2,48.1,52.76,2.6,10.8,21.6,19.8,78,97,0.804,81,191,0.424,47,124,0.379,0.8,3.0,30.8,Jr,5-Jun,2.67876,111.736,3.2,2022,70618,all,95.3762,90.822,3.68569,157.431,29.963,0.7037,2.8519,3.5556,2.6667,1.5556,0.2222,14.1111
Boogie Ellis,USC,P12,28,58.4,103.6,20.6,50.8,53.01,1.4,8.5,12.8,15.6,44,67,0.657,44,105,0.419,51,132,0.386,1.1,2.5,28.3,Jr,3-Jun,1.82002,107.711,3.0,2022,70654,all,91.0399,88.6741,3.12383,117.293,23.3571,0.2857,1.8214,2.1071,1.5357,1.0714,0.2143,10.1786
Spencer Jones,Stanford,P12,26,66.8,105.0,14.9,54.9,56.18,3.8,12.3,7.1,16.3,22,33,0.667,26,49,0.531,46,124,0.371,2.6,2.5,19.1,Jr,7-Jun,1.63135,102.206,4.4,2022,70664,all,97.7114,91.8895,3.40377,146.894,28.2692,0.8077,3.0769,3.8846,1.0385,1.2308,0.6538,8.1538
Neal Begovich,Stanford,P12,3,0.6,233.3,9.6,116.7,116.67,0.0,16.1,0.0,0.0,0,0,0.0,2,2,1.0,1,1,1.0,0.0,0.0,0.0,So,9-Jun,0.989047,207.411,0.0,2022,70666,all,103.44,102.317,0.201921,1.08971,2.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,2.3333
James Keefe,Stanford,P12,24,16.6,92.0,13.1,34.6,42.25,10.1,17.2,5.8,16.8,12,20,0.6,9,26,0.346,0,0,0.0,1.9,1.3,76.9,Jr,9-Jun,0.0416418,86.8378,3.9,2022,70668,all,98.8786,92.7401,0.90851,34.9261,7.625,0.5833,1.1667,1.75,0.25,0.1667,0.125,1.25
Oumar Ballo,Arizona,P12,24,11.7,100.5,21.5,62.9,61.51,13.0,16.1,2.9,26.6,16,29,0.552,22,35,0.629,0,0,0.0,3.9,1.8,82.9,So,Jul-00,0.446859,105.86,6.4,2022,70681,all,92.5709,89.7697,0.81298,33.1418,6.25,0.625,0.9167,1.5417,0.125,0.2083,0.25,2.5
Keeshawn Barthelemy,Colorado,P12,30,27.0,96.6,22.2,42.4,44.91,2.6,5.5,23.2,17.5,11,12,0.917,25,63,0.397,17,56,0.304,2.0,1.2,10.1,So,2-Jun,0.784569,104.917,1.3,2022,70700,all,100.452,94.2371,1.31761,53.5811,11.5,0.2333,0.5333,0.7667,1.4,0.2333,0.2,3.7333
